
2025/01/23 (14:10:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (14:11:51) | ===> btop++ v.1.4.0
2025/01/23 (14:11:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (14:11:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/23 (14:11:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:39:05) | ===> btop++ v.1.4.0
2025/01/23 (22:39:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (22:39:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/23 (22:39:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (12:13:43) | ===> btop++ v.1.4.0
2025/01/24 (12:13:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (12:13:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (12:13:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:08:23) | ===> btop++ v.1.4.0
2025/01/24 (16:08:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:08:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:08:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:09:10) | ===> btop++ v.1.4.0
2025/01/24 (16:09:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:09:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:09:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:09:37) | ===> btop++ v.1.4.0
2025/01/24 (16:09:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:09:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:09:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:10:04) | ===> btop++ v.1.4.0
2025/01/24 (16:10:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:10:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:10:18) | ===> btop++ v.1.4.0
2025/01/24 (16:10:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:10:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:10:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:10:49) | ===> btop++ v.1.4.0
2025/01/24 (16:10:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:10:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:10:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:13:36) | ===> btop++ v.1.4.0
2025/01/24 (16:13:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:13:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:13:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:14:01) | ===> btop++ v.1.4.0
2025/01/24 (16:14:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:14:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:14:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:46:00) | ===> btop++ v.1.4.0
2025/01/24 (16:46:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:46:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:46:13) | ===> btop++ v.1.4.0
2025/01/24 (16:46:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:46:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:46:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:46:18) | ===> btop++ v.1.4.0
2025/01/24 (16:46:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/24 (16:46:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/24 (16:46:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (19:11:01) | ===> btop++ v.1.4.0
